Intel® Product Specification Comparison
12/23/2024 01:49:15 PM
 ,Intel® Core™ i5-10210U Processor ,Intel® Core™ i7-10710U Processor ,Intel® Core™ i7-10510U Processor ,Intel® Core™ i3-10110U Processor ,Intel® Core™ i7-10510Y Processor ,Intel® Core™ i5-10310Y Processor ,Intel® Core™ i5-10210Y Processor ,Intel® Core™ i3-10110Y Processor ,Intel® Core™ i3-1005G1 Processor ,Intel® Core™ i5-1035G4 Processor ,Intel® Core™ i5-1035G7 Processor ,Intel® Core™ i7-1065G7 Processor ,Intel® Core™ i5-1035G1 Processor ,Intel® Core™ i5-10400 Processor ,Intel® Core™ i5-10600 Processor ,Intel® Core™ i5-10500T Processor ,Intel® Core™ i5-10400T Processor ,Intel® Core™ i5-10500 Processor ,Intel® Core™ i5-10400F Processor ,Intel® Core™ i5-10600T Processor ,Intel® Core™ i3-10320 Processor ,Intel® Core™ i3-10300 Processor ,Intel® Core™ i3-10300T Processor ,Intel® Core™ i3-10100 Processor ,Intel® Core™ i3-10100T Processor ,Intel® Core™ i5-10600K Processor ,Intel® Core™ i7-10700T Processor ,Intel® Core™ i5-10600KF Processor ,Intel® Core™ i7-10700 Processor ,Intel® Core™ i7-10700F Processor ,Intel® Core™ i9-10900T Processor ,Intel® Core™ i7-10700KF Processor ,Intel® Core™ i9-10900 Processor ,Intel® Core™ i9-10900F Processor ,Intel® Core™ i9-10900KF Processor ,Intel® Core™ i9-10900K Processor ,Intel® Core™ i7-10700K Processor ,Intel® Core™ i7-10750H Processor ,Intel® Core™ i9-10980HK Processor ,Intel® Core™ i5-10300H Processor ,Intel® Core™ i7-10810U Processor ,Intel® Core™ i3-10325 Processor ,Intel® Core™ i3-10105T Processor ,Intel® Core™ i5-10505 Processor ,Intel® Core™ i5-10310U Processor ,Intel® Core™ i3-10305 Processor ,Intel® Core™ i3-10105 Processor ,Intel® Core™ i5-10400H Processor ,Intel® Core™ i7-10610U Processor ,Intel® Core™ i7-10850H Processor ,Intel® Core™ i3-10305T Processor ,Intel® Core™ i5-10500H Processor ,Intel® Core™ i7-10875H Processor ,Intel® Core™ i3-10100F Processor ,Intel® Core™ i3-10105F Processor ,Intel® Core™ i9-10885H Processor ,Intel® Core™ i5-10500TE Processor ,Intel® Core™ i5-10500E Processor ,Intel® Core™ i3-10100E Processor ,Intel® Core™ i3-10100TE Processor ,Intel® Core™ i9-10900TE Processor ,Intel® Core™ i9-10900E Processor ,Intel® Core™ i7-10700TE Processor ,Intel® Core™ i7-10700E Processor ,Intel® Core™ i9-10850K Processor ,Intel® Core™ i5-10200H Processor ,Intel® Core™ i7-10870H Processor ,Intel® Core™ i3-10100Y Processor 
Max Turbo Frequency,4.20 GHz,4.70 GHz,4.90 GHz,4.10 GHz,4.50 GHz,4.10 GHz,4.00 GHz,4.00 GHz,3.40 GHz,3.70 GHz,3.70 GHz,3.90 GHz,3.60 GHz,4.30 GHz,4.80 GHz,3.80 GHz,3.60 GHz,4.50 GHz,4.30 GHz,4.00 GHz,4.60 GHz,4.40 GHz,3.90 GHz,4.30 GHz,3.80 GHz,4.80 GHz,4.50 GHz,4.80 GHz,4.80 GHz,4.80 GHz,4.60 GHz,5.10 GHz,5.20 GHz,5.20 GHz,5.30 GHz,5.30 GHz,5.10 GHz,5.00 GHz,5.30 GHz,4.50 GHz,4.90 GHz,4.70 GHz,3.90 GHz,4.60 GHz,4.40 GHz,4.50 GHz,4.40 GHz,4.60 GHz,4.90 GHz,5.10 GHz,4.00 GHz,4.50 GHz,5.10 GHz,4.30 GHz,4.40 GHz,5.30 GHz,3.70 GHz,4.20 GHz,3.80 GHz,3.60 GHz,4.50 GHz,4.70 GHz,4.40 GHz,4.50 GHz,5.20 GHz,4.10 GHz,5.00 GHz,3.90 GHz
Processor Base Frequency,1.60 GHz,1.10 GHz,1.80 GHz,2.10 GHz,1.20 GHz,1.10 GHz,1.00 GHz,1.00 GHz,1.20 GHz,1.10 GHz,1.20 GHz,1.30 GHz,1.00 GHz,2.90 GHz,3.30 GHz,2.30 GHz,2.00 GHz,3.10 GHz,2.90 GHz,2.40 GHz,3.80 GHz,3.70 GHz,3.00 GHz,3.60 GHz,3.00 GHz,4.10 GHz,2.00 GHz,4.10 GHz,2.90 GHz,2.90 GHz,1.90 GHz,3.80 GHz,2.80 GHz,2.80 GHz,3.70 GHz,3.70 GHz,3.80 GHz,2.60 GHz,2.40 GHz,2.50 GHz,1.10 GHz,3.90 GHz,3.00 GHz,3.20 GHz,1.70 GHz,3.80 GHz,3.70 GHz,2.60 GHz,1.80 GHz,2.70 GHz,3.00 GHz,2.50 GHz,2.30 GHz,3.60 GHz,3.70 GHz,2.40 GHz,2.30 GHz,3.10 GHz,3.20 GHz,2.30 GHz,1.80 GHz,2.80 GHz,2.00 GHz,2.90 GHz,3.60 GHz,2.40 GHz,2.20 GHz,1.30 GHz
Cache,6 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,4 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,12 MB Intel® Smart Cache,16 MB Intel® Smart Cache,12 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,20 MB Intel® Smart Cache,16 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,16 MB Intel® Smart Cache,12 MB Intel® Smart Cache,16 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,12 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,12 MB Intel® Smart Cache,16 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,16 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,20 MB Intel® Smart Cache,20 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,20 MB Intel® Smart Cache,8 MB Intel® Smart Cache,16 MB Intel® Smart Cache,4 MB Intel® Smart Cache
Bus Speed,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s
TDP,15 W,15 W,15 W,15 W,7 W,7 W,7 W,7 W,15 W,15 W,15 W,15 W,15 W,65 W,65 W,35 W,35 W,65 W,65 W,35 W,65 W,65 W,35 W,65 W,35 W,125 W,35 W,125 W,65 W,65 W,35 W,125 W,65 W,65 W,125 W,125 W,125 W,45 W,45 W,45 W,15 W,65 W,35 W,65 W,15 W,65 W,65 W,45 W,15 W,45 W,35 W,45 W,45 W,65 W,65 W,45 W,35 W,65 W,65 W,35 W,35 W,65 W,35 W,65 W,125 W,45 W,45 W,5 W
Configurable TDP-up Base Frequency,2.10 GHz,1.60 GHz,2.30 GHz,2.60 GHz,1.50 GHz,1.40 GHz,1.30 GHz,1.50 GHz,,1.50 GHz,1.50 GHz,1.50 GHz,1.20 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,3.10 GHz,,1.60 GHz,,,,2.20 GHz,,,,2.30 GHz,,,,,,,,,,,,,,,,,,,1.60 GHz
Configurable TDP-up,25 W,25 W,25 W,25 W,9 W,9 W,9 W,9 W,,25 W,25 W,25 W,25 W,,,,,,,,,,,,,,,,,,,,,,,,,,65 W,,25 W,,,,25 W,,,,25 W,,,,,,,,,,,,,,,,,,,7 W
Configurable TDP-down Base Frequency,800 MHz,800 MHz,800 MHz,800 MHz,400 MHz,800 MHz,600 MHz,700 MHz,900 MHz,800 MHz,800 MHz,1.00 GHz,700 MHz,,,1.70 GHz,1.30 GHz,,,1.90 GHz,,,2.50 GHz,,2.40 GHz,3.80 GHz,1.30 GHz,3.80 GHz,,,1.20 GHz,3.50 GHz,,,3.30 GHz,3.30 GHz,3.50 GHz,,,,800 MHz,,2.40 GHz,,800 MHz,,,,800 MHz,,2.50 GHz,,,,,,,,,,,,,,3.30 GHz,,,600 MHz
Configurable TDP-down,10 W,12.5 W,10 W,10 W,4.5 W,5.5 W,5.5 W,5.5 W,13 W,12 W,12 W,12 W,13 W,,,25 W,25 W,,,25 W,,,25 W,,25 W,95 W,25 W,95 W,,,25 W,95 W,,,95 W,95 W,95 W,35 W,,35 W,12.5 W,,25 W,,10 W,,,35 W,10 W,35 W,25 W,35 W,35 W,,,35 W,,,,,,,,,95 W,35 W,35 W,3.5 W
Intel® Turbo Boost Technology 2.0 Frequency‡,,,,,,,,,,,,,,4.30 GHz,4.80 GHz,3.80 GHz,3.60 GHz,4.50 GHz,4.30 GHz,4.00 GHz,4.60 GHz,4.40 GHz,3.90 GHz,4.30 GHz,3.80 GHz,4.80 GHz,4.40 GHz,4.80 GHz,4.70 GHz,4.70 GHz,4.50 GHz,5.00 GHz,5.00 GHz,5.00 GHz,5.10 GHz,5.10 GHz,5.00 GHz,,,4.50 GHz,,4.70 GHz,3.90 GHz,4.60 GHz,,4.50 GHz,4.40 GHz,4.60 GHz,,,4.00 GHz,,,4.30 GHz,4.40 GHz,,3.70 GHz,4.20 GHz,3.80 GHz,3.60 GHz,,,,,5.00 GHz,4.10 GHz,,3.90 GHz
Intel® Turbo Boost Max Technology 3.0 Frequency ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50 GHz,,4.80 GHz,4.80 GHz,4.60 GHz,5.10 GHz,5.10 GHz,5.10 GHz,5.20 GHz,5.20 GHz,5.10 GHz,4.80 GHz,5.10 GHz,,,,,,,,,,,4.90 GHz,,,4.90 GHz,,,5.10 GHz,,,,,4.50 GHz,4.70 GHz,4.40 GHz,4.50 GHz,5.10 GHz,,4.80 GHz,
Intel® Thermal Velocity Boost Frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.20 GHz,5.20 GHz,5.30 GHz,5.30 GHz,,5.00 GHz,5.30 GHz,,,,,,,,,,,5.10 GHz,,,5.10 GHz,,,5.30 GHz,,,,,,4.70 GHz,,,5.20 GHz,,5.00 GHz,

Supplemental Information
Marketing Status,Launched,Discontinued,Launched,Launched,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Launched,Discontinued,Discontinued,Discontinued,Launched,Launched,Launched,Discontinued,Launched,Launched,Discontinued,Discontinued,Discontinued,Launched,Launched,Discontinued,Launched,Launched,Discontinued,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Discontinued,Discontinued,Discontinued,Discontinued
Launch Date,Q3'19,Q3'19,Q3'19,Q3'19,Q3'19,Q3'19,Q3'19,Q3'19,Q3'19,Q3'19,Q3'19,Q3'19,Q3'19,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q1'21,Q1'21,Q1'21,Q2'20,Q1'21,Q1'21,Q2'20,Q2'20,Q2'20,Q1'21,Q4'20,Q2'20,Q4'20,Q1'21,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q2'20,Q3'20,Q3'20,Q3'20,Q1'21
Embedded Options Available,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
Description,Refer to datasheet for details on TDP spec and LPDDR support differences.,Refer to datasheet for details on TDP spec and LPDDR support differences.,Refer to datasheet for details on TDP spec and LPDDR support differences.,Refer to datasheet for details on TDP spec and LPDDR support differences.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Refer to datasheet for details on TDP spec and LPDDR support differences.,,,,Refer to datasheet for details on TDP spec and LPDDR support differences.,,,,Refer to datasheet for details on TDP spec and LPDDR support differences.,,,,,,,,,,,,,,,,,,,
Use Conditions,,,,,,,,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,

Memory Specifications
Max Memory Size (dependent on memory type),64 GB,64 GB,64 GB,64 GB,16 GB,16 GB,16 GB,16 GB,64 GB,64 GB,64 GB,64 GB,64 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,64 GB,128 GB,128 GB,128 GB,64 GB,128 GB,128 GB,128 GB,64 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,16 GB
Memory Types,DDR4-2666 |  LPDDR3-2133 |  LPDDR4-2933,DDR4-2666 |  LPDDR3-2133 |  LPDDR4-2933,DDR4-2666 |  LPDDR3-2133 |  LPDDR4-2933,DDR4-2666 |  LPDDR3-2133 |  LPDDR4-2933,LPDDR3-2133 |  DDR3L-1600,LPDDR3-2133 |  DDR3L-1600,LPDDR3-2133 |  DDR3L-1600,LPDDR3-2133 |  DDR3L-1600,DDR4-3200 |  LPDDR4-3733,DDR4-3200 |  LPDDR4-3733,DDR4-3200 |  LPDDR4-3733,DDR4-3200 |  LPDDR4-3733,DDR4-3200 |  LPDDR4-3733,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2933,DDR4-2666,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2666 |  LPDDR3-2133 |  LPDDR4-2933,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666 |  LPDDR3-2133 |  LPDDR4-2933,DDR4-2666,DDR4-2666,DDR4-2933,DDR4-2666 |  LPDDR3-2133 |  LPDDR4-2933,DDR4-2933,DDR4-2666,DDR4-2933,DDR4-2933,DDR4-2666,DDR4-2666,DDR4-2933,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,LPDDR3-1866 |  DDR3L-1600
Max # of Memory Channels,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Max Memory Bandwidth,45.8 GB/s,45.8 GB/s,45.8 GB/s,45.8 GB/s,33.33 GB/s,33.33 GB/s,33.33 GB/s,33.33 GB/s,58.3 GB/s,58.3 GB/s,58.3 GB/s,58.3 GB/s,58.3 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,45.8 GB/s,41.6 GB/s,45.8 GB/s,45.8 GB/s,45.8 GB/s,45.8 GB/s,45.8 GB/s,45.8 GB/s,45.8 GB/s,45.8 GB/s,45.8 GB/s,45.8 GB/s,45.8 GB/s,45.8 GB/s,45.8 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,45.8 GB/s,41.6 GB/s,41.6 GB/s,45.8 GB/s,45.8 GB/s,45.8 GB/s,41.6 GB/s,45.8 GB/s,45.8 GB/s,41.6 GB/s,41.6 GB/s,45.8 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,45.8 GB/s,45.8 GB/s,45.8 GB/s,45.8 GB/s,45.8 GB/s,45.8 GB/s,45.8 GB/s,33.3 GB/s
