Intel® Product Specification Comparison
12/23/2024 01:43:18 PM
 ,Intel® Core™ i9 processor 14900HX ,Intel® Core™ i7 processor 14650HX ,Intel® Core™ i7 processor 14700HX ,Intel® Core™ i5 processor 14450HX ,Intel® Core™ i5 processor 14500HX ,Intel® Core™ i9 processor 14900K ,Intel® Core™ i3 processor 14100 ,Intel® Core™ i3 processor 14100T ,Intel® Core™ i5 processor 14400F ,Intel® Core™ i5 processor 14600KF ,Intel® Core™ i5 processor 14500T ,Intel® Core™ i7 processor 14700 ,Intel® Core™ i5 processor 14600T ,Intel® Core™ i7 processor 14700K ,Intel® Core™ i5 processor 14500 ,Intel® Core™ i3 processor 14100F ,Intel® Core™ i9 processor 14900KF ,Intel® Core™ i5 processor 14400 ,Intel® Core™ i7 processor 14700KF ,Intel® Core™ i5 processor 14400T ,Intel® Core™ i9 processor 14900T ,Intel® Core™ i9 processor 14900 ,Intel® Core™ i7 processor 14700T ,Intel® Core™ i5 processor 14600K ,Intel® Core™ i5 processor 14600 ,Intel® Core™ i9 processor 14900F ,Intel® Core™ i7 processor 14700F ,Intel® Core™ i9 processor 14900KS ,Intel® Core™ i7 processor 14701TE ,Intel® Core™ i7 processor 14701E ,Intel® Core™ i5 processor 14401E ,Intel® Core™ i9 processor 14901TE ,Intel® Core™ i5 processor 14401TE ,Intel® Core™ i5 processor 14501TE ,Intel® Core™ i5 processor 14501E ,Intel® Core™ i9 processor 14901E 
Intel® Turbo Boost Max Technology 3.0 Frequency ‡,5.7 GHz,5.1 GHz,5.4 GHz,,,5.8 GHz,,,,,,5.4 GHz,,5.6 GHz,,,5.8 GHz,,5.6 GHz,,5.5 GHz,5.6 GHz,5.2 GHz,,,5.6 GHz,5.4 GHz,5.9 GHz,5.2 GHz,5.4 GHz,,5.5 GHz,,,,5.6 GHz
Performance-core Max Turbo Frequency,5.8 GHz,5.2 GHz,5.5 GHz,4.8 GHz,4.9 GHz,5.6 GHz,4.7 GHz,4.4 GHz,4.7 GHz,5.3 GHz,4.8 GHz,5.3 GHz,5.1 GHz,5.5 GHz,5 GHz,4.7 GHz,5.6 GHz,4.7 GHz,5.5 GHz,4.5 GHz,5.1 GHz,5.4 GHz,5 GHz,5.3 GHz,5.2 GHz,5.4 GHz,5.3 GHz,5.7 GHz,5.2 GHz,5.4 GHz,4.7 GHz,5.5 GHz,4.5 GHz,5.1 GHz,5.2 GHz,5.6 GHz
Efficient-core Max Turbo Frequency,4.1 GHz,3.7 GHz,3.9 GHz,3.5 GHz,3.5 GHz,4.4 GHz,,,3.5 GHz,4 GHz,3.4 GHz,4.2 GHz,3.6 GHz,4.3 GHz,3.7 GHz,,4.4 GHz,3.5 GHz,4.3 GHz,3.2 GHz,4 GHz,4.3 GHz,3.7 GHz,4 GHz,3.9 GHz,4.3 GHz,4.2 GHz,4.5 GHz,,,,,,,,
Performance-core Base Frequency,2.2 GHz,2.2 GHz,2.1 GHz,2.4 GHz,2.6 GHz,3.2 GHz,3.5 GHz,2.7 GHz,2.5 GHz,3.5 GHz,1.7 GHz,2.1 GHz,1.8 GHz,3.4 GHz,2.6 GHz,3.5 GHz,3.2 GHz,2.5 GHz,3.4 GHz,1.5 GHz,1.1 GHz,2 GHz,1.3 GHz,3.5 GHz,2.7 GHz,2 GHz,2.1 GHz,3.2 GHz,2.1 GHz,2.6 GHz,2.5 GHz,2.3 GHz,2 GHz,2.2 GHz,3.3 GHz,2.8 GHz
Efficient-core Base Frequency,1.6 GHz,1.6 GHz,1.5 GHz,1.8 GHz,1.9 GHz,2.4 GHz,,,1.8 GHz,2.6 GHz,1.2 GHz,1.5 GHz,1.3 GHz,2.5 GHz,1.9 GHz,,2.4 GHz,1.8 GHz,2.5 GHz,1.1 GHz,800 MHz,1.5 GHz,900 MHz,2.6 GHz,2 GHz,1.5 GHz,1.5 GHz,2.4 GHz,,,,,,,,
Cache,36 MB Intel® Smart Cache,30 MB Intel® Smart Cache,33 MB Intel® Smart Cache,20 MB Intel® Smart Cache,24 MB Intel® Smart Cache,36 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,20 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,33 MB Intel® Smart Cache,24 MB Intel® Smart Cache,33 MB Intel® Smart Cache,24 MB Intel® Smart Cache,12 MB Intel® Smart Cache,36 MB Intel® Smart Cache,20 MB Intel® Smart Cache,33 MB Intel® Smart Cache,20 MB Intel® Smart Cache,36 MB Intel® Smart Cache,36 MB Intel® Smart Cache,33 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,36 MB Intel® Smart Cache,33 MB Intel® Smart Cache,36 MB Intel® Smart Cache,33 MB Intel® Smart Cache,33 MB Intel® Smart Cache,24 MB Intel® Smart Cache,36 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,24 MB Intel® Smart Cache,36 MB Intel® Smart Cache
Processor Base Power,55 W,55 W,55 W,55 W,55 W,125 W,60 W,35 W,65 W,125 W,35 W,65 W,35 W,125 W,65 W,58 W,125 W,65 W,125 W,35 W,35 W,65 W,35 W,125 W,65 W,65 W,65 W,150 W,45 W,65 W,65 W,45 W,45 W,45 W,65 W,65 W
Maximum Turbo Power,157 W,157 W,157 W,157 W,157 W,253 W,110 W,69 W,148 W,181 W,92 W,219 W,92 W,253 W,154 W,110 W,253 W,148 W,253 W,82 W,106 W,219 W,106 W,181 W,154 W,219 W,219 W,253 W,,,,,,,,
Minimum Assured Power,45 W,45 W,45 W,45 W,45 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total L2 Cache,,,,,,32 MB,5 MB,5 MB,9.5 MB,20 MB,11.5 MB,28 MB,20 MB,28 MB,11.5 MB,5 MB,32 MB,9.5 MB,28 MB,9.5 MB,32 MB,32 MB,28 MB,20 MB,20 MB,32 MB,28 MB,32 MB,16 MB,16 MB,12 MB,16 MB,12 MB,12 MB,12 MB,16 MB
TDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45 W,65 W,65 W,45 W,45 W,45 W,65 W,65 W

Supplemental Information
Marketing Status,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched
Launch Date,Q1'24,Q1'24,Q1'24,Q1'24,Q1'24,Q4'23,Q1'24,Q1'24,Q1'24,Q4'23,Q1'24,Q1'24,Q1'24,Q4'23,Q1'24,Q1'24,Q4'23,Q1'24,Q4'23,Q1'24,Q1'24,Q1'24,Q1'24,Q4'23,Q1'24,Q1'24,Q1'24,Q1'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24,Q3'24
Embedded Options Available,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Use Conditions,,,,,,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet |  Workstation,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp

Memory Specifications
Max Memory Size (dependent on memory type),192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB,192 GB
Memory Types,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 4800 MT/s Up to DDR4 3200 MT/s,Up to DDR5 5600 MT/s Up to DDR4 3200 MT/s
Max # of Memory Channels,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Max Memory Bandwidth,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,76.8 GB/s,76.8 GB/s,76.8 GB/s,89.6 GB/s,76.8 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,76.8 GB/s,76.8 GB/s,89.6 GB/s,76.8 GB/s,89.6 GB/s,76.8 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,89.6 GB/s,76.8 GB/s,89.6 GB/s,76.8 GB/s,76.8 GB/s,76.8 GB/s,89.6 GB/s
ECC Memory Supported ‡,,,,,,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes

GPU Specifications
GPU Name‡,Intel® UHD Graphics for 14th Gen Intel® Processors,Intel® UHD Graphics for 14th Gen Intel® Processors,Intel® UHD Graphics for 14th Gen Intel® Processors,Intel® UHD Graphics for 14th Gen Intel® Processors,Intel® UHD Graphics for 14th Gen Intel® Processors,Intel® UHD Graphics 770,Intel® UHD Graphics 730,Intel® UHD Graphics 730,,,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics 770,,,Intel® UHD Graphics 730,,Intel® UHD Graphics 730,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics 770,,,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics 730,Intel® UHD Graphics 770,Intel® UHD Graphics 730,Intel® UHD Graphics 770,Intel® UHD Graphics 770,Intel® UHD Graphics 770
Graphics Max Dynamic Frequency,1.65 GHz,1.6 GHz,1.6 GHz,1.5 GHz,1.55 GHz,1.65 GHz,1.5 GHz,1.5 GHz,,,1.55 GHz,1.6 GHz,1.55 GHz,1.6 GHz,1.55 GHz,,,1.55 GHz,,1.55 GHz,1.65 GHz,1.65 GHz,1.6 GHz,1.55 GHz,1.55 GHz,,,1.65 GHz,1.65 GHz,1.65 GHz,1.55 GHz,1.65 GHz,1.55 GHz,1.55 GHz,1.55 GHz,1.65 GHz
Graphics Output,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,,,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,,,eDP 1.4b |  DP 1.4a |  HDMI 2.1,,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,,,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1,eDP 1.4b |  DP 1.4a |  HDMI 2.1
Execution Units,32,16,32,16,32,32,24,24,,,32,32,32,32,32,,,24,,24,32,32,32,32,32,,,32,32,32,24,32,24,32,32,32
Max Resolution (HDMI)‡,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,,,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,,,4096 x 2160 @ 60Hz,,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,,,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz,4096 x 2160 @ 60Hz
Max Resolution (DP)‡,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,,,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,,,7680 x 4320 @ 60Hz,,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,,,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz,7680 x 4320 @ 60Hz
Max Resolution (eDP - Integrated Flat Panel)‡,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,,,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,,,5120 x 3200 @ 120Hz,,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,,,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz,5120 x 3200 @ 120Hz
DirectX* Support,12.1,12.1,12.1,12.1,12.1,12,12,12,,,12,12,12,12,12,,,12,,12,12,12,12,12,12,,,12,12,12,12,12,12,12,12,12
OpenGL* Support,4.6,4.6,4.6,4.6,4.6,4.5,4.5,4.5,,,4.5,4.5,4.5,4.5,4.5,,,4.5,,4.5,4.5,4.5,4.5,4.5,4.5,,,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
OpenCL* Support,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,3.0,3.0,3.0,3.0,3.0,,,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Multi-Format Codec Engines,2,1,2,1,2,2,1,1,,,2,2,2,2,2,,,1,,1,2,2,2,2,2,,,2,2,2,1,2,1,2,2,2
Intel® Quick Sync Video,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
# of Displays Supported ‡,4,4,4,4,4,4,4,4,,,4,4,4,4,4,,,4,,4,4,4,4,4,4,,,4,4,4,4,4,4,4,4,4
Device ID,0xA788,0xA788,0xA788,0xA78B,0xA78B,0xA780,0x4692,0x4692,,,0x4680,0xA780,0xA780,0xA780,0x4680,,,0x4682/0xA782,,0x4682,0xA780,0xA780,0xA780,0xA780,0xA780,,,0xA780,0xA780,0xA780,0xA782,0xA780,0xA782,0xA780,0xA780,0xA780
Graphics Base Frequency,,,,,,300 MHz,,,,,,300 MHz,300 MHz,300 MHz,,,,,,,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,,,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz
Intel® Clear Video HD Technology,,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes

Expansion Options
Direct Media Interface (DMI) Revision,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Max # of DMI Lanes,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Scalability,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only
