Intel® Product Specification Comparison
12/23/2024 01:49:59 PM
 ,Intel® Core™ i3-9100 Processor ,Intel® Core™ i3-9100T Processor ,Intel® Core™ i3-9300T Processor ,Intel® Core™ i3-9300 Processor ,Intel® Core™ i5-9400T Processor ,Intel® Core™ i5-9500 Processor ,Intel® Core™ i5-9600K Processor ,Intel® Core™ i5-9400 Processor ,Intel® Core™ i5-9600 Processor ,Intel® Core™ i7-9700K Processor ,Intel® Core™ i9-9900K Processor ,Intel® Core™ i3-9350K Processor ,Intel® Core™ i5-9400F Processor ,Intel® Core™ i5-9600KF Processor ,Intel® Core™ i7-9700KF Processor ,Intel® Core™ i3-9100F Processor ,Intel® Core™ i9-9900KF Processor ,Intel® Core™ i5-9500F Processor ,Intel® Core™ i9-9900T Processor ,Intel® Core™ i7-9750H Processor ,Intel® Core™ i7-9750HF Processor ,Intel® Core™ i7-9850H Processor ,Intel® Core™ i7-9700T Processor ,Intel® Core™ i5-9600T Processor ,Intel® Core™ i5-9500T Processor ,Intel® Core™ i5-9300H Processor ,Intel® Core™ i5-9400H Processor ,Intel® Core™ i5-9300HF Processor ,Intel® Core™ i3-9350KF Processor ,Intel® Core™ i9-9900 Processor ,Intel® Core™ i7-9700 Processor ,Intel® Core™ i3-9320 Processor ,Intel® Core™ i9-9900KS Processor ,Intel® Core™ i9-9880H Processor ,Intel® Core™ i9-9980HK Processor ,Intel® Core™ i7-9700F Processor ,Intel® Core™ i3-9100E Processor ,Intel® Core™ i3-9100HL Processor ,Intel® Core™ i3-9100TE Processor ,Intel® Core™ i7-9700E Processor ,Intel® Core™ i5-9500E Processor ,Intel® Core™ i5-9500TE Processor ,Intel® Core™ i7-9850HE Processor ,Intel® Core™ i7-9700TE Processor ,Intel® Core™ i7-9850HL Processor 
Max Turbo Frequency,4.20 GHz,3.70 GHz,3.80 GHz,4.30 GHz,3.40 GHz,4.40 GHz,4.60 GHz,4.10 GHz,4.60 GHz,4.90 GHz,5.00 GHz,4.60 GHz,4.10 GHz,4.60 GHz,4.90 GHz,4.20 GHz,5.00 GHz,4.40 GHz,4.40 GHz,4.50 GHz,4.50 GHz,4.60 GHz,4.30 GHz,3.90 GHz,3.70 GHz,4.10 GHz,4.30 GHz,4.10 GHz,4.60 GHz,5.00 GHz,4.70 GHz,4.40 GHz,5.00 GHz,4.80 GHz,5.00 GHz,4.70 GHz,3.70 GHz,2.90 GHz,3.20 GHz,4.40 GHz,4.20 GHz,3.60 GHz,4.40 GHz,3.80 GHz,4.10 GHz
Intel® Turbo Boost Technology 2.0 Frequency‡,4.20 GHz,3.70 GHz,3.80 GHz,4.30 GHz,3.40 GHz,4.40 GHz,4.60 GHz,4.10 GHz,4.60 GHz,4.90 GHz,5.00 GHz,4.60 GHz,4.10 GHz,4.60 GHz,4.90 GHz,4.20 GHz,5.00 GHz,4.40 GHz,4.40 GHz,,,,4.30 GHz,3.90 GHz,3.70 GHz,,,,4.60 GHz,,4.70 GHz,4.40 GHz,5.00 GHz,,,4.70 GHz,3.70 GHz,2.90 GHz,3.20 GHz,4.40 GHz,4.20 GHz,3.60 GHz,4.40 GHz,3.80 GHz,4.10 GHz
Processor Base Frequency,3.60 GHz,3.10 GHz,3.20 GHz,3.70 GHz,1.80 GHz,3.00 GHz,3.70 GHz,2.90 GHz,3.10 GHz,3.60 GHz,3.60 GHz,4.00 GHz,2.90 GHz,3.70 GHz,3.60 GHz,3.60 GHz,3.60 GHz,3.00 GHz,2.10 GHz,2.60 GHz,2.60 GHz,2.60 GHz,2.00 GHz,2.30 GHz,2.20 GHz,2.40 GHz,2.50 GHz,2.40 GHz,4.00 GHz,3.10 GHz,3.00 GHz,3.70 GHz,4.00 GHz,2.30 GHz,2.40 GHz,3.00 GHz,3.10 GHz,1.60 GHz,2.20 GHz,2.60 GHz,3.00 GHz,2.20 GHz,2.70 GHz,1.80 GHz,1.90 GHz
Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,9 MB Intel® Smart Cache,9 MB Intel® Smart Cache,9 MB Intel® Smart Cache,9 MB Intel® Smart Cache,9 MB Intel® Smart Cache,12 MB Intel® Smart Cache,16 MB Intel® Smart Cache,8 MB Intel® Smart Cache,9 MB Intel® Smart Cache,9 MB Intel® Smart Cache,12 MB Intel® Smart Cache,6 MB Intel® Smart Cache,16 MB Intel® Smart Cache,9 MB Intel® Smart Cache,16 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB,12 MB Intel® Smart Cache,9 MB Intel® Smart Cache,9 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,16 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,16 MB Intel® Smart Cache,12 MB Intel® Smart Cache,6 MB,6 MB,6 MB,12 MB,9 MB,9 MB,9 MB,12 MB,9 MB
Bus Speed,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s DMI,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s
TDP,65 W,35 W,35 W,62 W,35 W,65 W,95 W,65 W,65 W,95 W,95 W,91 W,65 W,95 W,95 W,65 W,95 W,65 W,35 W,45 W,45 W,45 W,35 W,35 W,35 W,45 W,45 W,45 W,91 W,65 W,65 W,62 W,127 W,45 W,45 W,65 W,65 W,25 W,35 W,65 W,65 W,35 W,45 W,35 W,25 W
Configurable TDP-down Frequency,,2.40 GHz,2.50 GHz,,1.20 GHz,,,,,,,,,,,,,,1.60 GHz,,,,1.50 GHz,1.80 GHz,1.60 GHz,,,,,,,,,,,,,,,,,,,,
Configurable TDP-down,,25 W,25 W,,25 W,,,,,,,,,,,,,,25 W,35 W,35 W,35 W,25 W,25 W,25 W,35 W,35 W,35 W,,,,,,35 W,,,,,,,,,35 W,,

Supplemental Information
Marketing Status,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched,Launched
Launch Date,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q4'18,Q1'19,Q2'19,Q4'18,Q4'18,Q2'19,Q1'19,Q1'19,Q1'19,Q2'19,Q1'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q1'19,Q2'19,Q2'19,Q2'19,Q4'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q2'19,Q4'17,Q2'19,Q2'19,Q2'19
Embedded Options Available,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Use Conditions,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,,,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,,,,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,PC/Client/Tablet,,,PC/Client/Tablet,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp
Description,,,,,,,View now,View now,,View now,,,View now,View now,,,View now,,,,,,,,,,,,,,,,,,,View now,,,,,,,,,
Included Items,,,,,,,Please note: The boxed product does not include a fan or heat sink,,,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,,,,,,,,,,,,,,Please note: The boxed product does not include a fan or heat sink,,,,Please note: The boxed product does not include a fan or heat sink,,,,,,,,,,,,
Additional Information URL,,,,,,,,,,,View now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warranty Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1  yrs,,,,,,,,,,,,

Memory Specifications
Max Memory Size (dependent on memory type),64 GB,64 GB,64 GB,64 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,64 GB,128 GB,128 GB,128 GB,64 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,64 GB,128 GB,128 GB,64 GB,128 GB,128 GB,128 GB,128 GB,64 GB,64 GB,64 GB,128 GB,128 GB,128 GB,64 GB,128 GB,64 GB
Memory Types,DDR4-2400,DDR4-2400,DDR4-2400,DDR4-2400,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2400,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2400,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666 |  LPDDR3-2133,DDR4-2666 |  LPDDR3-2133,DDR4-2666 |  LPDDR3-2133,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666 |  LPDDR3-2133,DDR4-2666 |  LPDDR3-2133,DDR4-2666 |  LPDDR3-2133,DDR4-2400,DDR4-2666,DDR4-2666,DDR4-2400,DDR4-2666,DDR4-2666 |  LPDDR3-2133,DDR4-2666 |  LPDDR3-2133,DDR4-2666,DDR4-2400,DDR4-2666,DDR4-2400,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666
Max # of Memory Channels,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Max Memory Bandwidth,37.5 GB/s,37.5 GB/s,37.5 GB/s,37.5 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,37.5 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,37.5 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.8 GB/s,41.8 GB/s,41.8 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.8 GB/s,41.8 GB/s,41.8 GB/s,37.5 GB/s,41.6 GB/s,41.6 GB/s,37.5 GB/s,41.6 GB/s,41.8 GB/s,41.8 GB/s,41.6 GB/s,37.5 GB/s,,37.5 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,,41.6 GB/s,
ECC Memory Supported   ‡,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No

GPU Specifications
GPU Name‡,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,,,,,,,Intel® UHD Graphics 630,Intel® UHD Graphics 630,,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,,,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630
Graphics Base Frequency,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,,,,,,,350 MHz,350 MHz,,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,,,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz
Graphics Max Dynamic Frequency,1.10 GHz,1.10 GHz,1.10 GHz,1.15 GHz,1.05 GHz,1.10 GHz,1.15 GHz,1.05 GHz,1.15 GHz,1.20 GHz,1.20 GHz,1.15 GHz,,,,,,,1.20 GHz,1.15 GHz,,1.15 GHz,1.20 GHz,1.15 GHz,1.10 GHz,1.05 GHz,1.10 GHz,,,1.20 GHz,1.20 GHz,1.15 GHz,1.20 GHz,1.20 GHz,1.25 GHz,,1.05 GHz,1.10 GHz,1.05 GHz,1.15 GHz,1.10 GHz,1.10 GHz,1.15 GHz,1.15 GHz,1.15 GHz
Graphics Video Max Memory,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,,,,,,,64 GB,64 GB,,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,,,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,,64 GB,64 GB,64 GB,128 GB,128 GB,128 GB,64 GB,128 GB,64 GB
4K Support,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,,,,,,,Yes |  at 60Hz,Yes |  at 60Hz,,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,,,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz,Yes |  at 60Hz
Max Resolution (HDMI)‡,4096 x 2304@24Hz,4096 x 2304@24Hz,4096 x 2304@24Hz,4096 x 2304@24Hz,4096 x 2304@24Hz,4096 x 2304@24Hz,4096 x 2304@24Hz,4096 x 2304@24Hz,4096 x 2304@24Hz,4096 x 2304@24Hz,4096 x 2304@24Hz,4096 x 2304@24Hz,,,,,,,4096 x 2304@24Hz,4096 x 2304@30Hz,,4096 x 2304@30Hz,4096 x 2304@24Hz,4096 x 2304@24Hz,4096 x 2304@24Hz,4096 x 2304@30Hz,4096 x 2304@30Hz,,,4096 x 2304@24Hz,4096 x 2304@24Hz,4096 x 2304@24Hz,4096 x 2304@24Hz,4096 x 2304@30Hz,4096 x 2304@30Hz,,4096 x 2160@30Hz,4096 x 2160@30Hz,4096 x 2160@30Hz,4096 x 2160@30Hz,4096 x 2160@30Hz,4096 x 2160@30Hz,4096 x 2160@30Hz,4096 x 2160@30Hz,4096 x 2160@30Hz
Max Resolution (DP)‡,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,,,,,,,4096 x 2304@60Hz,4096 x 2304@60Hz,,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,,,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz
Max Resolution (eDP - Integrated Flat Panel)‡,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,,,,,,,4096 x 2304@60Hz,4096 x 2304@60Hz,,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,,,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,4096 x 2304@60Hz
DirectX* Support,12,12,12,12,12,12,12,12,12,12,12,12,,,,,,,12,12,,12,12,12,12,12,12,,,12,12,12,12,12,12,,12,12,12,12,12,12,12,12,12
OpenGL* Support,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,,,,,,4.5,4.5,,4.5,4.5,4.5,4.5,4.5,4.5,,,4.5,4.5,4.5,4.5,4.5,4.5,,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
Intel® Quick Sync Video,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® InTru™ 3D Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Clear Video HD Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Clear Video Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
# of Displays Supported ‡,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,3,3,,3,3,3,3,3,3,,,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3
Device ID,0x3E91,0x3E91,0x3E91,0x3E91,0x3E92,0x3E92,0x3E98,0X3E98/x92,0x3E92,0x3E98,0x3E98,0x3E91,,,,,,,0x3E98,0x3E9B,,0x3E9B,0x3E98,0x3E92,0x3E92,0x3E9B,0x3E9B,,,0x3E98,0x3E98,0x3E91,0x3E98,0x3E9B,0x3E9B,,0x3E98,0x3E9B,0x3E98,0x3E98,0x3E98,0x3E98,0x3E9B,0x3E98,0x3E9B
Graphics Output,,,,,,,,,,,,,,,,,,,,eDP/DP/HDMI/DVI,,eDP/DP/HDMI/DVI,,,,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,,,,,,,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI,eDP/DP/HDMI/DVI
Max Resolution (VGA)‡,,,,,,,,,,,,,,,,,,,,N/A,,N/A,,,,N/A,N/A,,,,,,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A

Expansion Options
Scalability,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,,,,1S Only,1S Only,1S Only,,,,1S Only,1S Only,1S Only,1S Only,1S Only,,,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only
