Intel® Product Specification Comparison
12/23/2024 01:41:41 PM
 ,Intel® Core™ Ultra 5 Processor 238V ,Intel® Core™ Ultra 7 Processor 256V ,Intel® Core™ Ultra 5 Processor 228V ,Intel® Core™ Ultra 7 Processor 266V ,Intel® Core™ Ultra 7 Processor 258V ,Intel® Core™ Ultra 7 Processor 268V ,Intel® Core™ Ultra 5 Processor 236V ,Intel® Core™ Ultra 5 Processor 226V ,Intel® Core™ Ultra 9 Processor 288V ,Intel® Core™ Ultra 9 Processor 285K ,Intel® Core™ Ultra 7 Processor 265KF ,Intel® Core™ Ultra 7 Processor 265K ,Intel® Core™ Ultra 5 Processor 245KF ,Intel® Core™ Ultra 5 Processor 245K 
H.264 Hardware Encode/Decode,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,
H.265 (HEVC) Hardware Encode/Decode,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,
H.266 (VVC) Hardware Encode/Decode,Decode Only,Decode Only,Decode Only,Decode Only,Decode Only,Decode Only,Decode Only,Decode Only,Decode Only,,,,,
AV1 Encode/Decode,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,
VP9 Bitstream & Decoding,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,
Intel® Quick Sync Video,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes
# of Displays Supported ‡,3,3,3,3,3,3,3,3,3,4,,4,,4
Device ID,0x64A0,0x64A0,0x64A0,0x64A0,0x64A0,0x64A0,0x64A0,0x64A0,0x64A0,0x7D67,,0x7D67,,0x7D67
Intel® Deep Learning Boost (Intel® DL Boost) on GPU,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes
AI Software Frameworks Supported by GPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebGPU |  WebNN,,,,,
Graphics Base Frequency,,,,,,,,,,300 MHz,,300 MHz,,300 MHz

NPU Specifications
NPU Name‡,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost,Intel® AI Boost
NPU Peak TOPS (Int8),40,47,40,48,47,48,40,40,48,13,13,13,13,13
Sparsity Support,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Windows Studio Effects Support,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AI Software Frameworks Supported by NPU,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN,OpenVINO™ |  WindowsML |  DirectML |  ONNX RT |  WebNN

Expansion Options
Intel® Thunderbolt™ 4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
PCI Support,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,,,,,
PCI Express Configurations ‡,4 (x1 | x2 | x4) Gen4 + 4 (x2 | x4) Gen5,4 (x1 | x2 | x4) Gen4 + 4 (x2 | x4) Gen5,4 (x1 | x2 | x4) Gen4 + 4 (x2 | x4) Gen5,4 (x1 | x2 | x4) Gen4 + 4 (x2 | x4) Gen5,4 (x1 | x2 | x4) Gen4 + 4 (x2 | x4) Gen5,4 (x1 | x2 | x4) Gen4 + 4 (x2 | x4) Gen5,4 (x1 | x2 | x4) Gen4 + 4 (x2 | x4) Gen5,4 (x1 | x2 | x4) Gen4 + 4 (x2 | x4) Gen5,4 (x1 | x2 | x4) Gen4 + 4 (x2 | x4) Gen5,Up to 1x16+2x4 |  2x8+2x4 | 1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 | 1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 | 1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 | 1x8+4x4,Up to 1x16+2x4 |  2x8+2x4 | 1x8+4x4
Max # of PCI Express Lanes,8,8,8,8,8,8,8,8,8,24,24,24,24,24
Direct Media Interface (DMI) Revision,,,,,,,,,,4,4,4,4,4
Max # of DMI Lanes,,,,,,,,,,8,8,8,8,8
Scalability,,,,,,,,,,1S Only,1S Only,1S Only,1S Only,1S Only
PCI Express Revision,,,,,,,,,,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0

Package Specifications
Sockets Supported,FCBGA2833,FCBGA2833,FCBGA2833,FCBGA2833,FCBGA2833,FCBGA2833,FCBGA2833,FCBGA2833,FCBGA2833,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851,FCLGA1851
Max CPU Configuration,1,1,1,1,1,1,1,1,1,,,,,
Max Operating Temperature,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,100 °C,105 °C,105 °C,105 °C,105 °C,105 °C
Package Size,27.5mmx27mm,27.5mmx27mm,27.5mmx27mm,27.5mmx27mm,27.5mmx27mm,27.5mmx27mm,27.5mmx27mm,27.5mmx27mm,27.5mmx27mm,,,,,
Thermal Solution Specification,,,,,,,,,,PCG 2020A,PCG 2020A,PCG 2020A,PCG 2020A,PCG 2020A

Advanced Technologies
Intel® Thread Director,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Image Processing Unit,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,
Intel® Smart Sound Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,
Intel® Wake on Voice,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,
Intel® High Definition Audio,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,
Intel® Adaptix™ Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,
Intel® Speed Shift Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Turbo Boost Max Technology 3.0 ‡,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,
Intel® Hyper-Threading Technology ‡,No,No,No,No,No,No,No,No,No,,,,,
Instruction Set,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
Thermal Monitoring Technologies,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Volume Management Device (VMD),,,,,,,,,,Yes,Yes,Yes,Yes,Yes
Intel® Gaussian & Neural Accelerator,,,,,,,,,,3.5,3.5,3.5,3.5,3.5
Intel® Thermal Velocity Boost,,,,,,,,,,Yes,,,,
Intel® Turbo Boost Technology ‡,,,,,,,,,,2.0,2.0,2.0,2.0,2.0
Intel® 64 ‡,,,,,,,,,,Yes,Yes,Yes,Yes,Yes
Idle States,,,,,,,,,,Yes,Yes,Yes,Yes,Yes
Enhanced Intel SpeedStep® Technology,,,,,,,,,,Yes,Yes,Yes,Yes,Yes

Security & Reliability
Intel vPro® Eligibility ‡,Intel vPro® Enterprise,,,Intel vPro® Enterprise,,Intel vPro® Enterprise,Intel vPro® Enterprise,,Intel vPro® Enterprise,Intel vPro® Enterprise |  Intel vPro® Platform,,Intel vPro® Enterprise |  Intel vPro® Platform,,Intel vPro® Enterprise |  Intel vPro® Platform
Intel® Hardware Shield Eligibility ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes
Intel® Partner Security Engine ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,
Intel® Threat Detection Technology (TDT),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes
Intel® Active Management Technology (AMT) ‡,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,,Yes,,Yes
Intel® Standard Manageability (ISM) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Remote Platform Erase (RPE) ‡,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,,Yes,,Yes
Intel® One-Click Recovery ‡,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,,Yes,,Yes
Intel® Control-Flow Enforcement Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Total Memory Encryption - Multi Key,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,,Yes,,Yes
Intel® AES New Instructions,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Secure Key,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Trusted Execution Technology ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Execute Disable Bit ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® OS Guard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Boot Guard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Mode-based Execute Control (MBEC),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Stable IT Platform Program (SIPP),Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,,Yes,,Yes
Intel® Virtualization Technology with Redirect Protection (VT-rp) ‡,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,,Yes,,Yes
Intel® Virtualization Technology (VT-x) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
