Intel® Turbo Boost Technology 2.0 Frequency‡,4.00 GHz,3.40 GHz,4.20 GHz,3.60 GHz,4.70 GHz,4.30 GHz,4.60 GHz,4.00 GHz,,,4.30 GHz,3.70 GHz,4.10 GHz,3.30 GHz,3.50 GHz,,,,4.00 GHz,4.10 GHz,4.10 GHz,3.80 GHz,4.20 GHz,4.10 GHz,4.00 GHz,4.20 GHz,4.00 GHz,4.10 GHz,4.30 GHz,,4.60 GHz,4.10 GHz,3.80 GHz,3.60 GHz,3.40 GHz,4.50 GHz,4.20 GHz,4.60 GHz,4.10 GHz,4.00 GHz,5.00 GHz,4.10 GHz,3.80 GHz,3.90 GHz,3.90 GHz,,,3.90 GHz,4.20 GHz,3.40 GHz,3.60 GHz,,4.70 GHz,3.90 GHz,4.10 GHz,4.50 GHz,,,,3.90 GHz,,3.90 GHz,3.90 GHz,3.90 GHz
Processor Base Frequency,1.80 GHz,1.60 GHz,1.90 GHz,1.70 GHz,3.70 GHz,3.60 GHz,3.20 GHz,2.80 GHz,3.60 GHz,4.00 GHz,3.10 GHz,2.30 GHz,3.00 GHz,1.70 GHz,2.10 GHz,3.70 GHz,3.20 GHz,3.10 GHz,2.40 GHz,3.10 GHz,3.10 GHz,2.80 GHz,3.10 GHz,3.10 GHz,2.30 GHz,2.50 GHz,2.80 GHz,3.00 GHz,2.60 GHz,2.90 GHz,3.20 GHz,2.20 GHz,2.30 GHz,3.00 GHz,2.20 GHz,2.70 GHz,2.60 GHz,3.20 GHz,3.00 GHz,2.80 GHz,4.00 GHz,3.10 GHz,2.80 GHz,1.60 GHz,2.10 GHz,1.80 GHz,3.00 GHz,1.30 GHz,1.50 GHz,1.10 GHz,1.60 GHz,3.60 GHz,2.80 GHz,1.40 GHz,2.40 GHz,1.70 GHz,1.70 GHz,1.60 GHz,1.60 GHz,2.20 GHz,1.90 GHz,1.60 GHz,1.60 GHz,2.10 GHz
Cache,8192,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,12 MB Intel® Smart Cache,9 MB Intel® Smart Cache,12 MB Intel® Smart Cache,9 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,9 MB Intel® Smart Cache,9 MB Intel® Smart Cache,9 MB Intel® Smart Cache,9 MB Intel® Smart Cache,9 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB,8 MB,6 MB,8 MB,8 MB,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,9 MB Intel® Smart Cache,9 MB Intel® Smart Cache,9 MB Intel® Smart Cache,12 MB Intel® Smart Cache,12 MB Intel® Smart Cache,9 MB Intel® Smart Cache,6 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,12 MB Intel® Smart Cache,9 MB Intel® Smart Cache,9 MB Intel® Smart Cache,12 MB Intel® Smart Cache,8 MB,6 MB,6 MB Intel® Smart Cache,4 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,4 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,6 MB Intel® Smart Cache,6 MB Intel® Smart Cache,4 MB Intel® Smart Cache,8 MB Intel® Smart Cache,4 MB Intel® Smart Cache,6 MB Intel® Smart Cache,4 MB Intel® Smart Cache
Bus Speed,4 GT/s,4 GT/s,4 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,4 GT/s,4 GT/s,4 GT/s,8 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,8 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s,4 GT/s OPI,4 GT/s OPI
TDP,15 W,15 W,15 W,15 W,95 W,95 W,65 W,65 W,65 W,91 W,65 W,35 W,65 W,35 W,35 W,62 W,35 W,35 W,35 W,,,,,,45 W,45 W,65 W,65 W,45 W,45 W,65 W,45 W,28 W,28 W,15 W,28 W,28 W,65 W,65 W,65 W,95 W,,,15 W,15 W,15 W,45 W,5 W,5 W,5 W,7 W,65 W,28 W,15 W,28 W,15 W,15 W,15 W,15 W,15 W,15 W,7 W,15 W,15 W
Configurable TDP-up Base Frequency,2.00 GHz,1.80 GHz,2.10 GHz,1.90 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80 GHz,2.30 GHz,2.00 GHz,,1.60 GHz,1.60 GHz,1.60 GHz,,,,,,,2.00 GHz,1.90 GHz,1.80 GHz,2.40 GHz,2.10 GHz,,1.80 GHz,2.30 GHz
Configurable TDP-up,25 W,25 W,25 W,25 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 W,25 W,25 W,,7 W,7 W,8 W,,,,,,,25 W,25 W,25 W,25 W,25 W,,25 W,25 W
Configurable TDP-down Base Frequency,800 MHz,800 MHz,800 MHz,800 MHz,,,,,,,,1.80 GHz,,1.20 GHz,1.60 GHz,,2.50 GHz,2.40 GHz,1.90 GHz,,,,,,1.80 GHz,2.00 GHz,,,2.10 GHz,,,1.70 GHz,1.10 GHz,1.90 GHz,800 MHz,1.90 GHz,1.80 GHz,,,,,,,800 MHz,800 MHz,800 MHz,2.60 GHz,600 MHz,600 MHz,600 MHz,,,,,,,1.30 GHz,800 MHz,1.10 GHz,1.60 GHz,800 MHz,,800 MHz,800 MHz
Configurable TDP-down,10 W,10 W,10 W,10 W,,,,,,,,25 W,,25 W,25 W,,25 W,25 W,25 W,,,,,,35 W,35 W,,,35 W,,,35 W,20 W,20 W,10 W,20 W,20 W,,,,,,,10 W,10 W,10 W,35 W,3.5 W,3.5 W,4.5 W,,,,,,,12.5 W,10 W,12.5 W,12.5 W,10 W,,10 W,10 W

Supplemental Information
Marketing Status,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Launched,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Launched,Discontinued,Launched,Discontinued,Discontinued,Launched,Launched,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Launched,Discontinued,Discontinued,Launched,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Launched,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Launched,Discontinued,Launched,Launched,Discontinued,Discontinued,Discontinued,Discontinued
Launch Date,Q3'17,Q3'17,Q3'17,Q3'17,Q4'17,Q4'17,Q4'17,Q4'17,Q4'17,Q4'17,Q2'18,Q2'18,Q2'18,Q2'18,Q2'18,Q2'18,Q2'18,Q2'18,Q2'18,Q1'18,Q1'18,Q1'18,Q1'18,Q1'18,Q2'18,Q2'18,Q2'18,Q2'18,Q2'18,Q2'18,Q2'18,Q2'18,Q2'18,Q2'18,Q1'18,Q2'18,Q2'18,Q2'18,Q2'18,Q2'18,Q2'18,Q3'18,Q3'18,Q3'18,Q3'18,Q3'18,Q4'17,Q3'18,Q1'19,Q3'18,Q1'19,Q3'18,Q2'19,Q3'19,Q2'19,Q3'19,Q3'18,Q2'19,Q3'18,Q3'18,Q2'19,Q1'19,Q4'19,Q4'19
Embedded Options Available,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No
Included Items,,,,,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,,,,Please note: The boxed product does not include a fan or heat sink,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intel(R) Optane(TM) Memory: 16GB |  M.2 22x80mm |  PCIe NVMe 3.0 x2 |  3D Xpoint,Intel(R) Optane(TM) Memory: 16GB |  M.2 22x80mm |  PCIe NVMe 3.0 x2 |  3D Xpoint,Intel(R) Optane(TM) Memory: 16GB |  M.2 22x80mm |  PCIe NVMe 3.0 x2 |  3D Xpoint,Please note: The boxed product does not include a fan or heat sink,,,,,,,,,,,,,,,,Premium PCH,,Premium PCH,Premium PCH,,,,
Use Conditions,,,,,,,PC/Client/Tablet,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,,,,,Embedded Broad Market Commercial Temp |  PC/Client/Tablet,,,PC/Client/Tablet,,,,,,,,,,,,PC/Client/Tablet,,,,,,Embedded Broad Market Commercial Temp,,,,,,,,,,Embedded Broad Market Commercial Temp,,Embedded Broad Market Commercial Temp,Embedded Broad Market Commercial Temp,,,,
Servicing Status,,,,,,,,,,,,,,,,,,,,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,,,,,,,,,,,,,,,,,,End of Servicing Lifetime,End of Servicing Lifetime,,,,,,,,,,,,,,,,,,,,,
End of Servicing Updates Date,,,,,,,,,,,,,,,,,,,,Friday |  March 31 |  2023,Friday |  March 31 |  2023,Friday |  March 31 |  2023,Friday |  March 31 |  2023,Friday |  March 31 |  2023,,,,,,,,,,,,,,,,,,Friday |  March 31 |  2023,Friday |  March 31 |  2023,,,,,,,,,,,,,,,,,,,,,
Description,,,,,,,,,,,,,,,,,,,,65W Package TDP,100W Package TDP,65W Package TDP,100W Package TDP,65W Package TDP,,,,,,,,,,,,,,,,,,65W Package TDP,65W Package TDP,,,,,,,,,,,,,,,,,,,,,

Memory Specifications
Max Memory Size (dependent on memory type),32 GB,32 GB,32 GB,32 GB,128 GB,128 GB,128 GB,128 GB,64 GB,64 GB,128 GB,128 GB,128 GB,128 GB,128 GB,64 GB,64 GB,64 GB,128 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,32 GB,32 GB,32 GB,32 GB,32 GB,64 GB,64 GB,64 GB,128 GB,64 GB,64 GB,64 GB,64 GB,64 GB,64 GB,16 GB,16 GB,16 GB,16 GB,64 GB,32 GB,32 GB,32 GB,32 GB,64 GB,64 GB,64 GB,64 GB,64 GB,16 GB,64 GB,64 GB
Memory Types,DDR4-2400 |  LPDDR3-2133,DDR4-2400 |  LPDDR3-2133,DDR4-2400 |  LPDDR3-2133,DDR4-2400 |  LPDDR3-2133,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2400,DDR4-2400,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2400,DDR4-2400,DDR4-2400,DDR4-2666,DDR4-2400,DDR4-2400,DDR4-2400,DDR4-2400,DDR4-2400,DDR4-2666 |  LPDDR3-2133,DDR4-2666 |  LPDDR3-2133,DDR4-2666,DDR4-2666,DDR4-2666 |  LPDDR3-2133,DDR4-2666 |  LPDDR3-2133,DDR4-2666,DDR4-2666 |  LPDDR3-2133,DDR4-2400 |  LPDDR3-2133,DDR4-2400 |  LPDDR3-2133,DDR4-2400 |  LPDDR3-2133,DDR4-2400 |  LPDDR3-2133,DDR4-2400 |  LPDDR3-2133,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2400,DDR4-2400,DDR4-2400 |  LPDDR3-2133,DDR4-2400 |  LPDDR3-2133,DDR4-2400 |  LPDDR3-2133,DDR4-2666,LPDDR3-1866 |  DDR3L-1600,LPDDR3-1866 |  DDR3L-1600,LPDDR3-1866 |  DDR3L-1600,LPDDR3-2133 |  DDR3L-1600,DDR4-2666,DDR4-2400 |  LPDDR3-2133,DDR4-2400 |  LPDDR3-2133,DDR4-2400 |  LPDDR3-2133,DDR4-2400 |  LPDDR3-2133,DDR4-2400 |  LPDDR3-2133,DDR4-2400 |  LPDDR3-2133,DDR4-2400 |  LPDDR3-2133,DDR4-2400 |  LPDDR3-2133,DDR4-2400 |  LPDDR3-2133,LPDDR3-2133 |  DDR3L-1600,DDR4-2400 |  LPDDR3-2133,DDR4-2400 |  LPDDR3-2133
Max # of Memory Channels,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Max Memory Bandwidth,37.5 GB/s,37.5 GB/s,37.5 GB/s,37.5 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,37.5 GB/s,37.5 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,37.5 GB/s,37.5 GB/s,37.5 GB/s,41.6 GB/s,37.5 GB/s,37.5 GB/s,37.5 GB/s,37.5 GB/s,37.5 GB/s,41.8 GB/s,41.8 GB/s,,,,41.8 GB/s,,41.8 GB/s,37.5 GB/s,37.5 GB/s,37.5 GB/s,37.5 GB/s,37.5 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,41.6 GB/s,37.5 GB/s,37.5 GB/s,37.5 GB/s,37.5 GB/s,37.5 GB/s,,33.3 GB/s,33.3 GB/s,33.3 GB/s,33.3 GB/s,,37.5 GB/s,37.5 GB/s,37.5 GB/s,37.5 GB/s,37.5 GB/s,37.5 GB/s,37.5 GB/s,37.5 GB/s,37.5 GB/s,33.3 GB/s,37.5 GB/s,37.5 GB/s
ECC Memory Supported   ‡,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No

GPU Specifications
GPU Name‡,Intel® UHD Graphics 620,Intel® UHD Graphics 620,Intel® UHD Graphics 620,Intel® UHD Graphics 620,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® Iris® Plus Graphics 655,Intel® Iris® Plus Graphics 655,Intel® UHD Graphics 620,Intel® Iris® Plus Graphics 655,Intel® Iris® Plus Graphics 655,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® UHD Graphics 630,Intel® HD Graphics 630,Intel® HD Graphics 630,Intel® UHD Graphics for 8th Generation Intel® Processors,Intel® UHD Graphics for 8th Generation Intel® Processors,Intel® UHD Graphics for 8th Generation Intel® Processors,Intel® UHD Graphics 630,Intel® UHD Graphics 615,Intel® UHD Graphics 615,Intel® UHD Graphics 615,Intel® UHD Graphics 617,Intel® UHD Graphics 630,Intel® Iris® Plus Graphics 655,Intel® Iris® Plus Graphics 645,Intel® Iris® Plus Graphics 655,Intel® Iris® Plus Graphics 645,Intel® UHD Graphics 620,Intel® UHD Graphics for 8th Generation Intel® Processors,Intel® UHD Graphics 620,Intel® UHD Graphics 620,Intel® UHD Graphics for 8th Generation Intel® Processors,Intel® UHD Graphics 617,Intel® UHD Graphics 620,Intel® UHD Graphics 620
Graphics Base Frequency,300 MHz,300 MHz,300 MHz,300 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,350 MHz,300 MHz,300 MHz,300 MHz,350 MHz,300 MHz,300 MHz,300 MHz,300 MHz,350 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz,300 MHz
