Intel® Product Specification Comparison
12/23/2024 01:48:33 PM
 ,Intel® Core™ i7-7740X X-series Processor ,Intel® Core™ i5-7640X X-series Processor ,Intel® Core™ i7-7800X X-series Processor ,Intel® Core™ i9-7900X X-series Processor ,Intel® Core™ i7-7820X X-series Processor ,Intel® Core™ i9-7920X X-series Processor ,Intel® Core™ i9-7940X X-series Processor ,Intel® Core™ i9-7960X X-series Processor ,Intel® Core™ i9-7980XE Extreme Edition Processor ,Intel® Core™ i9-9820X X-series Processor ,Intel® Core™ i7-9800X X-series Processor ,Intel® Core™ i9-9960X X-series Processor ,Intel® Core™ i9-9900X X-series Processor ,Intel® Core™ i9-9940X X-series Processor ,Intel® Core™ i9-9980XE Extreme Edition Processor ,Intel® Core™ i9-9920X X-series Processor ,Intel® Core™ i9-10920X X-series Processor ,Intel® Core™ i9-10940X X-series Processor ,Intel® Core™ i9-10980XE Extreme Edition Processor ,Intel® Core™ i9-10900X X-series Processor ,Intel® Core™ i7-3960X Processor Extreme Edition ,Intel® Core™ i7-3930K Processor ,Intel® Core™ i7-3820 Processor ,Intel® Core™ i7-3920XM Processor Extreme Edition ,Intel® Core™ i7-3970X Processor Extreme Edition ,Intel® Core™ i7-3940XM Processor Extreme Edition ,Intel® Core™ i7-4930MX Processor Extreme Edition ,Intel® Core™ i7-4960X Processor Extreme Edition ,Intel® Core™ i7-4930K Processor ,Intel® Core™ i7-4820K Processor ,Intel® Core™ i7-4940MX Processor Extreme Edition ,Intel® Core™ i7-5960X Processor Extreme Edition ,Intel® Core™ i7-5930K Processor ,Intel® Core™ i7-5820K Processor ,Intel® Core™ i7-6850K Processor ,Intel® Core™ i7-6800K Processor ,Intel® Core™ i7-6900K Processor ,Intel® Core™ i7-6950X Processor Extreme Edition 
Max Turbo Frequency,4.50 GHz,4.20 GHz,4.00 GHz,4.30 GHz,4.30 GHz,4.30 GHz,4.30 GHz,4.20 GHz,4.20 GHz,4.10 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.60 GHz,4.60 GHz,4.60 GHz,4.50 GHz,3.90 GHz,3.80 GHz,3.80 GHz,3.80 GHz,4.00 GHz,3.90 GHz,3.90 GHz,4.00 GHz,3.90 GHz,3.90 GHz,4.00 GHz,3.50 GHz,3.70 GHz,3.60 GHz,3.80 GHz,3.60 GHz,3.70 GHz,3.50 GHz
Intel® Turbo Boost Technology 2.0 Frequency‡,4.50 GHz,4.20 GHz,4.00 GHz,,,,,,,,,,,,,,,,,,3.90 GHz,3.80 GHz,3.80 GHz,3.80 GHz,4.00 GHz,3.90 GHz,3.90 GHz,4.00 GHz,3.90 GHz,3.90 GHz,4.00 GHz,3.50 GHz,3.70 GHz,3.60 GHz,,,,
Processor Base Frequency,4.30 GHz,4.00 GHz,3.50 GHz,3.30 GHz,3.60 GHz,2.90 GHz,3.10 GHz,2.80 GHz,2.60 GHz,3.30 GHz,3.80 GHz,3.10 GHz,3.50 GHz,3.30 GHz,3.00 GHz,3.50 GHz,3.50 GHz,3.30 GHz,3.00 GHz,3.70 GHz,3.30 GHz,3.20 GHz,3.60 GHz,2.90 GHz,3.50 GHz,3.00 GHz,3.00 GHz,3.60 GHz,3.40 GHz,3.70 GHz,3.10 GHz,3.00 GHz,3.50 GHz,3.30 GHz,3.60 GHz,3.40 GHz,3.20 GHz,3.00 GHz
Cache,8 MB,6 MB,8.25 MB L3 Cache,13.75 MB L3 Cache,11 MB L3 Cache,16.5 MB L3 Cache,19.25 MB,22 MB,24.75 MB,16.5 MB Intel® Smart Cache,16.5 MB Intel® Smart Cache,22 MB Intel® Smart Cache,19.25 MB Intel® Smart Cache,19.25 MB Intel® Smart Cache,24.75 MB Intel® Smart Cache,19.25 MB Intel® Smart Cache,19.25 MB Intel® Smart Cache,19.25 MB Intel® Smart Cache,24.75 MB Intel® Smart Cache,19.25 MB Intel® Smart Cache,15 MB Intel® Smart Cache,12 MB Intel® Smart Cache,10 MB Intel® Smart Cache,8 MB Intel® Smart Cache,15 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,15 MB Intel® Smart Cache,12 MB Intel® Smart Cache,10 MB Intel® Smart Cache,8 MB Intel® Smart Cache,20 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB Intel® Smart Cache,15 MB,15 MB Intel® Smart Cache,20 MB,25 MB
Bus Speed,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s,8 GT/s DMI3,8 GT/s DMI3,8 GT/s DMI3,8 GT/s DMI3,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,5 GT/s,0 GT/s,0 GT/s,0 GT/s,,,,
# of QPI Links,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,
TDP,112 W,112 W,140 W,140 W,140 W,140 W,165 W,165 W,165 W,165 W,165 W,165 W,165 W,165 W,165 W,165 W,165 W,165 W,165 W,165 W,130 W,130 W,130 W,55 W,150 W,55 W,57 W,130 W,130 W,130 W,57 W,140 W,140 W,140 W,140 W,140 W,140 W,140 W
Intel® Turbo Boost Max Technology 3.0 Frequency ‡,,,,4.50 GHz,4.50 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.40 GHz,4.20 GHz,4.50 GHz,4.50 GHz,4.50 GHz,4.50 GHz,4.50 GHz,4.50 GHz,4.80 GHz,4.80 GHz,4.80 GHz,4.70 GHz,,,,,,,,,,,,,,,4.00 GHz,3.80 GHz,4.00 GHz,4.00 GHz

Supplemental Information
Marketing Status,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Launched,Launched,Launched,Launched,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Launch Date,Q2'17,Q2'17,Q2'17,Q2'17,Q2'17,Q3'17,Q3'17,Q3'17,Q3'17,Q4'18,Q4'18,Q4'18,Q4'18,Q4'18,Q4'18,Q4'18,Q4'19,Q4'19,Q4'19,Q4'19,Q4'11,Q4'11,Q1'12,Q2'12,Q4'12,Q3'12,Q2'13,Q3'13,Q3'13,Q3'13,Q1'14,Q3'14,Q3'14,Q3'14,Q2'16,Q2'16,Q2'16,Q2'16
Servicing Status,ESU Notification Issued,ESU Notification Issued,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,Baseline Servicing,,,,,End of Servicing Updates,End of Servicing Updates,End of Servicing Updates,End of Servicing Lifetime,End of Servicing Updates,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime,End of Servicing Lifetime
End of Servicing Updates Date,Sunday |  March 31 |  2024,Sunday |  March 31 |  2024,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,Sunday |  December 31 |  2023,,,,,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Tuesday |  December 31 |  2019,Wednesday |  June 30 |  2021,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Tuesday |  June 30 |  2020,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021,Wednesday |  June 30 |  2021
Embedded Options Available,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Included Items,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,,,Please note: The boxed product does not include a fan or heat sink,,,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink,Please note: The boxed product does not include a fan or heat sink
Product Brief,View now,View now,View now,View now,View now,View now,View now,View now,View now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description,,,,,,,,,,,,,,,,,,,,,This product includes VT-d support only on the C2 stepping. Stepping information can be viewed via the menu on the left.,This product includes VT-d support only on the C2 stepping. Stepping information can be viewed via the menu on the left.,,,,,,,,,,,,,,,,

Memory Specifications
Max Memory Size (dependent on memory type),64 GB,64 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,128 GB,256 GB,256 GB,256 GB,256 GB,64 GB,64.23 GB,64.23 GB,32 GB,64.45 GB,32 GB,32 GB,64 GB,64 GB,64 GB,32 GB,64 GB,64 GB,64 GB,128 GB,128 GB,128 GB,128 GB
Memory Types,DDR4-2666,DDR4-2666,DDR4-2400,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2666,DDR4-2933,DDR4-2933,DDR4-2933,DDR4-2933,DDR3 1066/1333/1600,DDR3 1066/1333/1600,DDR3 1066/1333/1600,DDR3/L/-RS 1333/1600,DDR3 1066/1333/1600,DDR3/L/-RS 1333/1600,DDR3L 1333/1600,DDR3 1333/1600/1866,DDR3 1333/1600/1866,DDR3 1333/1600/1866,DDR3L 1333/1600,DDR4 1600/1866/2133,DDR4 1600/1866/2133,DDR4 1600/1866/2133,DDR4 2400/2133,DDR4 2400/2133,DDR4 2400/2133,DDR4 2400/2133
Max # of Memory Channels,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,2,4,4,4,2,4,4,4,4,4,4,4
Max Memory Bandwidth,42 GB/s,42 GB/s,77 GB/s,85 GB/s,85 GB/s,85 GB/s,85 GB/s,85 GB/s,85 GB/s,85 GB/s,85 GB/s,85 GB/s,85 GB/s,85 GB/s,85 GB/s,85 GB/s,94 GB/s,94 GB/s,94 GB/s,94 GB/s,51.2 GB/s,51.2 GB/s,51.2 GB/s,25.6 GB/s,51.2 GB/s,25.6 GB/s,25.6 GB/s,59.7 GB/s,59.7 GB/s,59.7 GB/s,25.6 GB/s,68 GB/s,68 GB/s,68 GB/s,,,,
ECC Memory Supported   ‡,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No

Expansion Options
Scalability,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,,,,,,,,,1S Only,,,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only
PCI Express Configurations ‡,Up to 1x16 |  2x8 |  1x8+2x4,Up to 1x16 |  2x8 |  1x8+2x4,,,,,,,,,,,,,,,,,,,,,,1x16 |  2x8 |  1x8 2x4,,1x16 |  2x8 |  1x8 2x4,1x16 |  2x8 |  1x8 2x4,,,,1x16 |  2x8 |  1x8 2x4,,,,,,,
Max # of PCI Express Lanes,16,16,28,44,28,44,44,44,44,44,44,44,44,44,44,44,48,48,48,48,40,40,40,16,40,16,16,40,40,40,16,40,40,28,40,28,40,40
PCI Express Revision,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3,3.0,3.0,3.0,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0

Package Specifications
Sockets Supported,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA2066,FCLGA2011,FCLGA2011,FCLGA2011,FCPGA988,FCLGA2011,FCPGA988,FCPGA946,FCLGA2011,FCLGA2011,FCLGA2011,FCPGA946,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011,FCLGA2011
Max CPU Configuration,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Thermal Solution Specification,PCG 2017X,PCG 2017X,PCG 2017X,PCG 2017X,PCG 2017X,PCG 2017X,PCG 2017X,PCG 2017X,PCG 2017X,PCG 2017X,PCG 2017X,PCG 2017X,PCG 2017X,PCG 2017X,PCG 2017X,PCG 2017X,PCG 2017X,PCG 2017X,PCG 2017X,PCG 2017X,,,,,,,,,,,,,,,,,,
TJUNCTION,100°C,100°C,100°C,95°C,99°C,95°C,102°C,98°C,94°C,92°C,95°C,85°C,92°C,88°C,84°C,92°C,94°C,86°C,86°C,94°C,,,,105 C,,105 C,100°C,,,,100°C,,,,,,,
TCASE,,,,,,,,,,,,,,,,,,,,,66.8°C,66.8°C,66.8°C,,66.8°C,,,66.8°C,66.8,66.8°C,,66.8,66.8,66.8,67.2°,67.2°,67.2°,67.3°
Package Size,,,,,,,,,,,,,,,,,,,,,52.5mm x 45.0mm,52.5mm x 45.0mm,52.5mm x 45.0mm,37.5 x 37.5mm (rPGA988B),52.5mm x 45.0mm,37.5 x 37.5mm (rPGA988B),37.5mm x 37.5mm x 4.7mm,52.5mm x 45.0mm,52.5mm x 45.0mm,52.5mm x 45.0mm,37.5mm x 37.5mm x 4.7mm,52.5mm x 45.0mm,52.5mm x 45.0mm,52.5mm x 45.0mm,,,,

Advanced Technologies
Intel® Optane™ Memory Supported ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
Intel® Turbo Boost Technology ‡,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Intel® Hyper-Threading Technology ‡,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® 64 ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Instruction Set,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,,,,,,,,,,,,,,,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit
Instruction Set Extensions,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2 |  Intel® AVX-512,Intel® SSE4.2 |  Intel® AVX,Intel® SSE4.2 |  Intel® AVX,Intel® SSE4.2 |  Intel® AVX,Intel® AVX,Intel® SSE4.2 |  Intel® AVX,Intel® AVX,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.2 |  Intel® AVX,Intel® SSE4.2 |  Intel® AVX,Intel® SSE4.2 |  Intel® AVX,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.2 |  Intel® AVX2,Intel® SSE4.2 |  Intel® AVX2,,,,
# of AVX-512 FMA Units,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,
Enhanced Intel SpeedStep® Technology,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Turbo Boost Max Technology 3.0 ‡,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes
Intel® Deep Learning Boost (Intel® DL Boost),,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
Idle States,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Demand Based Switching,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,,No,No,No,,No,No,No,,,,
Thermal Monitoring Technologies,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Intel® Identity Protection Technology ‡,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,
Intel® Smart Response Technology,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® My WiFi Technology,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,
4G WiMAX Wireless Technology,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,
Intel® Fast Memory Access,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,
Intel® Flex Memory Access,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,
Intel® TSX-NI,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,

Security & Reliability
Intel® AES New Instructions,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology (VT-x) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
